dataset,backbone,strategy,unfreeze_pct,Direction,task,n_classes,total_params,trainable_params,batch_size,learning_rate,epochs_trained,best_epoch,best_val_primary,test_loss,training_time_sec,seed,test_primary,test_auc_macro,test_acc,test_acc_hamming,test_auc,test_auc_micro
chestmnist,vit_base_patch16_224,LP,0,0,multilabel,14,85809422,10766,64,0.0001,115,110,0.762183717943979,0.16509587591529912,7315.041915178299,45,0.7620502018694232,0.7620502018694232,0.5290866134712254,0.9473065827766491,0.7620502018694232,0.833291725083994
chestmnist,swin_tiny_patch4_window7_224,LP,0,0,multilabel,14,27530120,10766,64,0.0001,104,94,0.7562304166642073,0.16674760013733833,5339.522047519684,47,0.756195137932796,0.756195137932796,0.5303793518477243,0.9472747419299374,0.756195137932796,0.8292646673414725
chestmnist,resnet18,partial,60,end,multilabel,14,11183694,11026190,64,0.0001,30,15,0.8098463342268462,0.15597371924721617,1298.2407262325287,45,0.8097728777035407,0.8097728777035407,0.5261445192350555,0.9476345434977806,0.8097728769661215,0.8643918898706072
chestmnist,densenet121,LP,0,0,multilabel,14,6968206,14350,64,0.0001,71,56,0.7504985652288546,0.16820628444353738,3329.2769062519073,44,0.7412613645425546,0.7412613645425546,0.5299781571791558,0.9474721551795505,0.7412613652015388,0.8231937121345878
chestmnist,vit_base_patch16_224,partial,40,end,multilabel,14,85809422,35450126,64,0.0001,20,5,0.8171552976986931,0.1552476329129306,1492.4151320457458,44,0.8189547973336725,0.8189547973336725,0.5218205322515936,0.9471314581197343,0.8189547973336725,0.8675068609316998
chestmnist,densenet121,full,0,0,multilabel,14,6968206,6968206,64,0.0001,21,6,0.8305911330845739,0.150495530851716,2084.2918269634247,44,0.8343314529249021,0.8343314529249021,0.5246734721169706,0.947691857021862,0.8343314534152586,0.8784704963143304
chestmnist,vit_base_patch16_224,partial,20,start,multilabel,14,85809422,21274382,64,0.0001,22,7,0.8155404896500226,0.15600510397952505,2004.1084413528442,45,0.8123800748918469,0.8123800748918469,0.5316275130388267,0.9482172309926066,0.8123800756292662,0.8643222090196647
chestmnist,vit_base_patch16_224,partial,20,start,multilabel,14,85809422,21274382,64,0.0001,27,12,0.8192885112773284,0.1556263495119888,2420.0185050964355,49,0.813328373323146,0.813328373323146,0.5301118887353452,0.9479975291502951,0.8133283748596662,0.8651427445858467
chestmnist,vit_base_patch16_224,full,0,0,multilabel,14,85809422,85809422,64,0.0001,21,8,0.8143764633358405,0.1552337453278721,2292.7097821235657,43,0.8132468262995535,0.8132468262995535,0.5298444256229662,0.9481471811298406,0.8132468256405693,0.8650636787545142
chestmnist,densenet121,LP,0,0,multilabel,14,6968206,14350,64,0.0001,66,51,0.7525557682651012,0.168184083071869,2903.5027916431427,46,0.742919342061916,0.742919342061916,0.5307805465162929,0.9474594188408658,0.7429193415715595,0.8231243951451435
chestmnist,resnet18,partial,20,end,multilabel,14,11183694,8400910,64,0.0001,30,15,0.7806725091886516,0.16052966080924386,1285.1903066635132,43,0.7863372475604313,0.7863372475604313,0.5303793518477243,0.947745986461272,0.7863372475604313,0.8480410578342698
chestmnist,resnet18,partial,20,end,multilabel,14,11183694,8400910,64,0.0001,29,14,0.7850271039175952,0.1607889399314538,1238.0890004634857,48,0.7834966675518829,0.7834966675518829,0.5296215396959836,0.9475644936350147,0.7834966675518829,0.8478674075550374
chestmnist,vit_base_patch16_224,partial,20,end,multilabel,14,85809422,21274382,64,0.0001,20,5,0.8037432859242826,0.1573784898361589,1296.316400051117,42,0.807985115198649,0.807985115198649,0.5298890028083627,0.9480580267590476,0.807985115198649,0.8606543222699244
