,dataset,run_name,summary_path,Direction,backbone,batch_size,best_epoch,best_val_primary,epochs_trained,learning_rate,n_classes,seed,strategy,task,test_acc,test_auc,test_auc_macro,test_f1_macro,test_loss,test_primary,total_params,trainable_params,training_time_sec,unfreeze_pct
490,retinamnist,retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed43,retinamnist/retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed43/summary.json,start,vit_base_patch16_224,64,17,0.870450277575068,32,0.0001,5,43,partial,classification,0.5725,0.831213690587199,,0.4185709447163588,1.2759326951844352,0.831213690587199,85802501,21267461,80.60989713668823,20
491,retinamnist,retinamnist_resnet18_partial_pct60_dirstart_seed44,retinamnist/retinamnist_resnet18_partial_pct60_dirstart_seed44/summary.json,start,resnet18,64,49,0.8663295722104266,64,0.0001,5,44,partial,classification,0.605,0.8356722106996894,,0.3863055772168798,0.9785429154123578,0.8356722106996894,11179077,2775813,122.21045684814452,60
492,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirend_seed42,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirend_seed42/summary.json,end,swin_tiny_patch4_window7_224,64,11,0.9038248203586114,26,0.0001,5,42,partial,classification,0.65,0.8811729134238465,,0.507133148565946,0.9585953099387032,0.8811729134238465,27523199,15964193,56.59116625785827,20
493,retinamnist,retinamnist_densenet121_partial_pct40_dirstart_seed44,retinamnist/retinamnist_densenet121_partial_pct40_dirstart_seed44/summary.json,start,densenet121,64,60,0.8826408745109738,75,0.0001,5,44,partial,classification,0.6525,0.8500503149715497,,0.4894032954727243,0.9603358166558402,0.8500503149715497,6958981,1293125,168.76618456840515,40
494,retinamnist,retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed42,retinamnist/retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed42/summary.json,start,vit_base_patch16_224,64,12,0.885121984363632,27,0.0001,5,42,partial,classification,0.6125,0.8425356248802395,,0.5104839792946956,1.0287725159100125,0.8425356248802395,85802501,21267461,75.6079957485199,20
495,retinamnist,retinamnist_densenet121_LP_pct0_seed43,retinamnist/retinamnist_densenet121_LP_pct0_seed43/summary.json,0,densenet121,64,66,0.8270647753551643,81,0.0001,5,43,LP,classification,0.595,0.8261997307572498,,0.4168886845288452,1.0323647601263863,0.8261997307572498,6958981,5125,150.39704132080078,0
496,retinamnist,retinamnist_resnet18_partial_pct20_dirend_seed41,retinamnist/retinamnist_resnet18_partial_pct20_dirend_seed41/summary.json,end,resnet18,64,47,0.8486212135521061,62,0.0001,5,41,partial,classification,0.6225,0.8247296391084497,,0.4432607848782788,1.009259351662227,0.8247296391084497,11179077,8396293,117.19739723205566,20
497,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct40_dirend_seed47,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct40_dirend_seed47/summary.json,end,swin_tiny_patch4_window7_224,64,23,0.9026093859300572,38,0.0001,5,47,partial,classification,0.6525,0.8712332502083615,,0.5605151188469046,1.694482616015843,0.8712332502083615,27523199,19517177,85.1766836643219,40
498,retinamnist,retinamnist_densenet121_full_pct0_seed41,retinamnist/retinamnist_densenet121_full_pct0_seed41/summary.json,0,densenet121,64,8,0.8681598458523707,23,0.0001,5,41,full,classification,0.66,0.8610270101651473,,0.4957474916129327,0.8710756387029376,0.8610270101651473,6958981,6958981,58.919939041137695,0
499,retinamnist,retinamnist_resnet18_full_pct0_seed42,retinamnist/retinamnist_resnet18_full_pct0_seed42/summary.json,0,resnet18,64,22,0.8588085694766855,37,0.0001,5,42,full,classification,0.635,0.8504909104588119,,0.4717484770330181,0.9217943464006696,0.8504909104588119,11179077,11179077,67.7117109298706,0
500,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct40_dirstart_seed49,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct40_dirstart_seed49/summary.json,start,swin_tiny_patch4_window7_224,64,43,0.9020520744108844,58,0.0001,5,49,partial,classification,0.67,0.8753579987711975,,0.5413631696937159,1.142704359122685,0.8753579987711975,27523199,2896787,141.78063464164734,40
501,retinamnist,retinamnist_vit_base_patch16_224_partial_pct60_dirend_seed49,retinamnist/retinamnist_vit_base_patch16_224_partial_pct60_dirend_seed49/summary.json,end,vit_base_patch16_224,64,8,0.8909562443658553,23,0.0001,5,49,partial,classification,0.64,0.8672274833706476,,0.5498662865450106,1.0929314749581474,0.8672274833706476,85802501,56706821,72.83775782585144,60
502,retinamnist,retinamnist_resnet18_full_pct0_seed46,retinamnist/retinamnist_resnet18_full_pct0_seed46/summary.json,0,resnet18,64,23,0.8617549388402935,38,0.0001,5,46,full,classification,0.64,0.8604226112919082,,0.4429181009753299,0.8701620612825666,0.8604226112919082,11179077,11179077,75.62283611297607,0
503,retinamnist,retinamnist_vit_base_patch16_224_partial_pct40_dirstart_seed48,retinamnist/retinamnist_vit_base_patch16_224_partial_pct40_dirstart_seed48/summary.json,start,vit_base_patch16_224,64,7,0.8738451049303834,22,0.0001,5,48,partial,classification,0.6375,0.8598206857372416,,0.5179260026705428,0.948846902166094,0.8598206857372416,85802501,35443205,60.71215748786926,40
504,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirstart_seed48,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirstart_seed48/summary.json,start,swin_tiny_patch4_window7_224,64,60,0.8967710759111217,75,0.0001,5,48,partial,classification,0.6525,0.8830579694202372,,0.5591955845418655,0.9267814925738744,0.8830579694202372,27523199,674417,189.59177041053772,20
